Tempo de loading:1.729 seg
Tempo total de Execução: 2.400274
.208 sg | Executou em Tempo Útil : SIM :) |File didn't open |
Numero da query: 1_Comand 24_Timer: 0.012 sg | Executou em Tempo Útil : SIM :) |File didn't open |
Numero da query: 1_Comand 25_Timer: 0.013 sg | Executou em Tempo Útil : SIM :) |File didn't open |
Numero da query: 1_Comand 26_Timer: 0.012 sg | Executou em Tempo Útil : SIM :) |File didn't open |
Numero da query: 1_Comand 27_Timer: 0.010 sg | Executou em Tempo Útil : SIM :) |File didn't open |
Numero da query: 1_Comand 28_Timer: 0.009 sg | Executou em Tempo Útil : SIM :) |File didn't open |
Numero da query: 1_Comand 29_Timer: 0.010 sg | Executou em Tempo Útil : SIM :) |File didn't open |
Numero da query: 1_Comand 30_Timer: 0.018 sg | Executou em Tempo Útil : SIM :) |File didn't open |
Numero da query: 1_Comand 31_Timer: 0.009 sg | Executou em Tempo Útil : SIM :) |File didn't open |
Numero da query: 1_Comand 32_Timer: 0.009 sg | Executou em Tempo Útil : SIM :) |File didn't open |
Numero da query: 2_Comand 33_Timer: 0.124 sg | Executou em Tempo Útil : SIM :) |File didn't open |
Numero da query: 2_Comand 34_Timer: 0.010 sg | Executou em Tempo Útil : SIM :) |File didn't open |
Numero da query: 3_Comand 35_Timer: 0.087 sg | Executou em Tempo Útil : SIM :) |File didn't open |
Numero da query: 3_Comand 36_Timer: 0.024 sg | Executou em Tempo Útil : SIM :) |File didn't open |
Numero da query: 4_Comand 37_Timer: 0.061 sg | Executou em Tempo Útil : SIM :) |File didn't open |
Numero da query: 4_Comand 38_Timer: 0.018 sg | Executou em Tempo Útil : SIM :) |File didn't open |
Numero da query: 4_Comand 39_Timer: 0.018 sg | Executou em Tempo Útil : SIM :) |File didn't open |
Numero da query: 4_Comand 40_Timer: 0.010 sg | Executou em Tempo Útil : SIM :) |File didn't open |
Numero da query: 5_Comand 41_Timer: 0.056 sg | Executou em Tempo Útil : SIM :) |File didn't open |
Numero da query: 5_Comand 42_Timer: 0.026 sg | Executou em Tempo Útil : SIM :) |File didn't open |
Numero da query: 5_Comand 43_Timer: 0.015 sg | Executou em Tempo Útil : SIM :) |File didn't open |
Numero da query: 6_Comand 44_Timer: 4.965 sg | Executou em Tempo Útil : SIM :) |File didn't open |
Numero da query: 6_Comand 45_Timer: 26.660 sg | Executou em Tempo Útil : SIM :) |File didn't open |
Numero da query: 6_Comand 46_Timer: 26.562 sg | Executou em Tempo Útil : SIM :) |File didn't open |
Numero da query: 6_Comand 47_Timer: 0.076 sg | Executou em Tempo Útil : SIM :) |File didn't open |
Numero da query: 7_Comand 48_Timer: 4.353 sg | Executou em Tempo Útil : SIM :) |File didn't open |
Numero da query: 7_Comand 49_Timer: 0.033 sg | Executou em Tempo Útil : SIM :) |File didn't open |
Numero da query: 8_Comand 50_Timer: 193.312 sg | Executou em Tempo Útil : SIM :) |File didn't open |
Numero da query: 8_Comand 51_Timer: 197.533 sg | Executou em Tempo Útil : SIM :) |File didn't open |
Numero da query: 8_Comand 52_Timer: 97.357 sg | Executou em Tempo Útil : SIM :) |File didn't open |
Numero da query: 9_Comand 53_Timer: 8.230 sg | Executou em Tempo Útil : SIM :) |File didn't open |
Numero da query: 9_Comand 54_Timer: 0.043 sg | Executou em Tempo Útil : SIM :) |File didn't open |
Memoria: 169 mbytes
